model,accuracy,precision_macro,recall_macro,f1_macro,best_params,cv_mean,cv_std,roc_auc
logreg,0.7615523650376838,0.7472685946504777,0.7511464910950694,0.748977581517414,{'clf__C': 0.1},0.7462106664262905,0.00564870958685415,0.858147677451472
rf,0.934351873955598,0.9462452573152745,0.9168198148821891,0.9281736460759437,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.9304925856303665,0.004182418847878602,0.9657428615820927
knn,0.7598472189066603,0.745593068585404,0.7499978819472439,0.7474891372397156,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",0.7288612341680416,0.005053831825510663,0.8355996851655288
