n_sample,score_mean,score_std
1000,0.25361788657938145,0.0304751169564736
1172,0.23973465055741908,0.0181794693302801
1373,0.24212367270464458,0.02607516721621434
1610,0.231673374373527,0.01964269266831768
1887,0.22371061973755366,0.022269335872629224
2212,0.23253535380071583,0.025310986607453886
2592,0.2266370170149961,0.010975590401640175
3039,0.2321744095685186,0.01236961358716303
3562,0.22467178090989778,0.013311620614055547
4175,0.22369463516822918,0.014736981089293857
4893,0.21945091992412938,0.015668573439010788
5736,0.2194602224094596,0.013303090410934243
6723,0.22038884869279135,0.009857978167130691
7880,0.2193679234050412,0.004179167713224806
9236,0.21786421298120154,0.006874731920521687
10826,0.21810291166197757,0.006151301058653112
12689,0.2168027152230298,0.0061274972397814854
14873,0.21648373567465123,0.005304272194513029
17433,0.2177800450590568,0.004180774336627008
20433,0.21773237705421306,0.004947493816000872
23950,0.2176846997005689,0.0047091824484923024
28072,0.2175063867925358,0.003971834012481087
32903,0.21754509360037436,0.004129316497677794
38566,0.21796039036880677,0.003097805630473694
45203,0.2174096242461155,0.00411465399280335
52983,0.21788516801237226,0.002645720093708791
62101,0.21764904200433052,0.0037516785743830785
72789,0.2168429136579076,0.002707431886905188
85316,0.21817239167011912,0.004308659980568534
100000,0.21619278175801884,0.002357478520527032
