n_sample,score_mean,score_std
1000,0.8865054228059138,0.03533073127825601
1172,0.8942188512888783,0.03331854187076979
1373,0.9034740153113612,0.02037626673317408
1610,0.9095396398943919,0.019191111083574446
1887,0.890573863296446,0.017945958072303526
2212,0.910465154082298,0.020833606716604006
2592,0.9063819710636322,0.01456257982769964
3039,0.911264554294734,0.015235721692951811
3562,0.9147608134202441,0.013036551158003425
4175,0.9168501205664044,0.015791312179138584
4893,0.9202711131492791,0.01169061379765716
5736,0.9197193345035173,0.006963486263942208
6723,0.9201339237309855,0.006402176992827851
7880,0.9209766150133041,0.005146920582063295
9236,0.9168301806606308,0.009581716632214687
10826,0.9189761476696576,0.008891630118790558
12689,0.9219543034073896,0.010239701527824335
14873,0.9214149630551598,0.00868237865506976
17433,0.9256630822311264,0.005767069789111873
20433,0.9254703179277731,0.009484840484277356
23950,0.9264581953399018,0.006862197000020956
28072,0.9249567005957777,0.005217815011422812
32903,0.9259345394072327,0.006662281132861538
38566,0.9275563768183727,0.004015997284112969
45203,0.9265832038716058,0.004796055433806531
52983,0.9285155665931135,0.003815381425582821
62101,0.9297652377824086,0.004897030074200084
72789,0.9299596415954621,0.0031672134508436397
85316,0.9294517076166257,0.005133622648096664
100000,0.9299514000804978,0.0029680148599941286
