source_id,longitude,latitude,uber_loc,address,region,county,locality
node/7944298554,80.267272,26.496489,Vishwavidyalaya,"Vishwavidyalaya, Kanpur, UP, India",Uttar Pradesh,Kanpur,Kanpur
way/531767683,78.122613,29.920896,Vishwavidyalaya,"Gurukula Kangri Vishwavidyalaya, Hardwar, UT, India",Uttarakhand,Haridwar,Hardwar
way/26681638,82.993814,25.266866,Vishwavidyalaya,"Kashi Hindu Vishwavidyalaya, Varanasi, UP, India",Uttar Pradesh,Varanasi,Varanasi
way/392264774,79.309181,21.390225,Vishwavidyalaya,"Kavikulguru Sanskrit Vishwavidyalaya, MH, India",Maharashtra,Nagpur,
polyline:20405324,77.219736,28.690005,Vishwavidyalaya,"Vishwavidyalaya Marg, Delhi, India",Delhi,South West Delhi,Delhi
node/10314380321,77.286815,28.636459,Nirman Vihar,"Nirman Vihar, Delhi, India",Delhi,South West Delhi,Delhi
relation/3813399,77.290808,28.634759,Nirman Vihar,"Nirman Vihar, Delhi, India",Delhi,South West Delhi,Delhi
way/674921388,79.016873,10.727582,Nirman Vihar,"Nirman Vihar, TN, India",Tamil Nadu,Thanjavur,
polyline:22674673,79.0172,10.727921,Nirman Vihar,"Nirman Vihar Entrance, TN, India",Tamil Nadu,Thanjavur,
way/354023544,72.860108,19.129298,Nirman Vihar,"Nirman Vihar CHS, Mumbai, MH, India",Maharashtra,Mumbai City,Mumbai
85928333,77.189209,28.594777,Chanakyapuri,"Chanakyapuri, Delhi, India",Delhi,South West Delhi,Delhi
1270642,77.02635,28.4601,Gurgaon Sector 29,"Gurgaon, HR, India",Haryana,Gurugram,Gurgaon
node/1774430929,77.011193,28.489101,Gurgaon Sector 29,"Gurgaon, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7168803799,77.027117,28.474246,Gurgaon Sector 29,"GH Gurgaon, Gurugram, HR, India",Haryana,Gurugram,Gurugram
10547511,82.15916,25.49781,Gurgaon Sector 29,"Gurgaon, UP, India",Uttar Pradesh,Allahabad,Gurgaon
1344097555,87.86786,26.32458,Gurgaon Sector 29,"Gurgaon, BR, India",Bihar,Kishanganj,Gurgaon
node/6465991436,77.146124,28.672995,Punjabi Bagh,"Punjabi Bagh, Delhi, India",Delhi,South West Delhi,Delhi
relation/3682298,77.128302,28.668061,Punjabi Bagh,"Punjabi Bagh, Delhi, India",Delhi,South West Delhi,Delhi
node/6458202843,77.139211,28.672766,Punjabi Bagh,"Punjabi Bagh West, Delhi, India",Delhi,South West Delhi,Delhi
node/4472297491,77.140214,28.673825,Punjabi Bagh,"Punjabi Bagh Chowk, Delhi, India",Delhi,South West Delhi,Delhi
10263148,77.12701,28.66448,Punjabi Bagh,"Punjabi Bagh West, Delhi, India",Delhi,South West Delhi,Delhi
node/9378787102,77.119498,28.6473,Rajouri Garden,"Talli Station Rajouri Garden, Delhi, India",Delhi,South West Delhi,Delhi
node/6763880406,77.123356,28.649107,Rajouri Garden,"Rajouri Garden, Delhi, India",Delhi,South West Delhi,Delhi
node/5848633382,77.12685,28.645323,Rajouri Garden,"Rajouri Garden, Delhi, India",Delhi,South West Delhi,Delhi
node/1374470978,77.12061,28.650979,Rajouri Garden,"Wave Rajouri Garden, Delhi, India",Delhi,South West Delhi,Delhi
node/5848637197,77.127007,28.645644,Rajouri Garden,"Rajouri Garden Market, Delhi, India",Delhi,South West Delhi,Delhi
102031133,77.381182,28.534601,Noida Sector 18,"Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
102031095,77.510051,28.466676,Noida Sector 18,"Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
node/6537260850,77.356164,28.574733,Noida Sector 18,"Noida City Centre, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
polyline:31580734,77.495958,28.452974,Noida Sector 18,"Noida-Greater Noida Expressway, Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
polyline:31582413,77.398824,28.503459,Noida Sector 18,"Noida-Greater Noida Expressway, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
1125838203,77.09922,27.42397,Laxmi Nagar,"Nagar, RJ, India",Rajasthan,Bharatpur,Nagar
1360152231,79.84308,12.24375,Laxmi Nagar,"Nagar, TN, India",Tamil Nadu,Villupuram,Nagar
1344010825,80.96581,26.7133,Laxmi Nagar,"Nagar, UP, India",Uttar Pradesh,Lucknow,Nagar
1343704993,78.55041,27.92319,Laxmi Nagar,"Nagar, UP, India",Uttar Pradesh,Aligarh,Nagar
1343488669,79.33471,29.89577,Laxmi Nagar,"Nagar, UT, India",Uttarakhand,Almora,Nagar
85928209,77.204192,28.56103,Green Park,"Green Park Extension, Delhi, India",Delhi,South West Delhi,Delhi
1360242101,78.48685,12.51609,Keshav Puram,"Puram, TN, India",Tamil Nadu,Vellore,Puram
1360239943,78.05866,12.3455,Keshav Puram,"Puram, TN, India",Tamil Nadu,Dharmapuri,Puram
1293249581,77.93497,12.54443,Keshav Puram,"Puram, TN, India",Tamil Nadu,Krishnagiri,Puram
way/483407272,75.79918,26.901314,Udyog Bhawan,"UDYOG BHAWAN, Jaipur, RJ, India",Rajasthan,Jaipur,Jaipur
node/6371772374,77.213107,28.610393,Udyog Bhawan,"Udyog Bhawan, Delhi, India",Delhi,South West Delhi,Delhi
node/4308722515,74.591667,16.853133,Udyog Bhawan,"Udyog Bhawan, Sangli, MH, India",Maharashtra,Sangli,Sangli
node/6086075040,85.148,25.615527,Udyog Bhawan,"Udyog Bhawan, Patna, BR, India",Bihar,Patna,Patna
102030699,83.168716,19.910275,Udyog Bhawan,"Bhawanipatna, OR, India",Odisha,Kalahandi,Bhawanipatna
1226694439,77.75516,22.63243,Saket,"Saket, MP, India",Madhya Pradesh,Hoshangabad,Saket
