n_sample,score_mean,score_std
1000,0.9302930794942357,0.026950034126160306
2000,0.9236484149573327,0.013209405242563269
3000,0.9177976977658368,0.015050213334465969
4000,0.9276447134032516,0.014545363188060864
5000,0.9207318813551666,0.01148159988444759
6000,0.9273078789566567,0.00764256330113259
7000,0.9290205325624237,0.007701950397137396
8000,0.9293583324919238,0.006910257457630731
9000,0.9238229003620052,0.011429179333399155
10000,0.9276248651889254,0.007369422006253991
11000,0.9223667426071416,0.009049155216436226
12000,0.9222544928547786,0.00871610301620278
13000,0.9278283453879185,0.007416988035239677
14000,0.9254335182556777,0.007313862315560593
15000,0.9306974278970512,0.003262029835001044
16000,0.9248459684156956,0.0028067910469631993
17000,0.9296521159768216,0.006851212463524396
18000,0.926807075564362,0.006456706573609652
19000,0.92659484063162,0.004679106342722318
20000,0.9291139496980362,0.004448677765310675
21000,0.9293775571869997,0.005143623612336684
22000,0.9269715653458984,0.005150959168064657
23000,0.9272211472774817,0.006020434661853489
24000,0.9275217594881375,0.0029518668386653386
25000,0.9281736407679786,0.005372079491458773
26000,0.928640563208566,0.004882823093965008
27000,0.9274935295118298,0.0042904386678796974
28000,0.9266556625231676,0.004308977308560687
29000,0.928492162947348,0.0025049730086193784
30000,0.9280290308656394,0.005895877287184195
31000,0.9279188545506079,0.002972170746845994
32000,0.9281836254055712,0.004810463036723194
33000,0.9277335422026847,0.006235329317143759
34000,0.9276122486425221,0.0038499055077207576
35000,0.9275573742843285,0.0037242453505844197
