model,accuracy,precision_macro,recall_macro,f1_macro,best_params,cv_mean,cv_std,roc_auc
logreg,0.6759122428100489,0.6978628132775374,0.7054030934053621,0.6752136100215039,{'clf__C': 0.1},0.6807844878675049,0.007501420889919014,0.6594268535438648
rf,0.938615437080823,0.9495350414100916,0.9223024132107098,0.9330084942382888,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9279525246042428,0.00402117168366455,0.9688404177938983
knn,0.7782198476753439,0.7654625962418771,0.7734387383299104,0.7684386099015028,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",0.7667303482783435,0.005032424323612783,0.8469839281265847
